,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSG00000000003.17,TSPAN6,1874.5384615384614,41.851121159968486,False,True,False,False,13.0,3.931325192264483e-05,11.0,3.9321850129749e-05,8.0,3.377182673161664e-05,12.0,3.7601567256462676e-05,1.000000250299965e-10,1.0000007548645813e-10,1.0000007502934542e-10,1.0000008073930265e-10
1,ENSG00000000005.6,TNMD,873.5,41.27252683315215,False,True,False,False,0.0,0.0,0.0,0.0,1.0,4.22147834145208e-06,1.0,2.892428250497129e-06,1e-10,1e-10,1e-10,1e-10
2,ENSG00000000419.15,DPM1,1284.409090909091,38.542533379988974,False,True,False,False,1044.0,0.0036621806214094527,2874.0,0.013697111128529234,1548.0,0.007970151108661528,2797.0,0.011656485849503429,2.6734312698862987e-09,1.2515385633850983e-07,6.661334911452327e-08,1.1261332502010829e-07
3,ENSG00000000457.15,SCYL3,3017.3846153846152,44.6736411518604,False,True,False,False,329.0,0.0011400843057567,594.0,0.002346203724408357,444.0,0.002199390215896534,612.0,0.002175106044373841,6.422370936717019e-10,4.1386978998154564e-10,5.696500983865329e-10,4.319243621584772e-10
4,ENSG00000000460.18,FIRRM,3019.090909090909,41.605638111105414,False,True,False,False,266.0,0.0010160963573852817,467.0,0.002018521639993782,410.0,0.002165618389164917,508.0,0.0020015603493440132,6.866898141677977e-10,2.8264185850246843e-10,4.753122477376363e-10,3.2570639078695007e-10
5,ENSG00000000938.14,FGR,2228.9375,57.26936991893807,False,True,False,False,914.0,0.004805289023467894,822.0,0.0044925213773238225,1148.0,0.011056051776262999,1120.0,0.006936042944692115,2.2536871141140167e-07,1.4115803024080985e-08,2.245481343620595e-07,5.3550984705603e-08
6,ENSG00000000971.18,CFH,2921.2096774193546,39.342774363070006,False,True,False,False,1.0,3.02409630174191e-06,1.0,3.2768208441457497e-06,2.0,8.44295668290416e-06,1.0,2.892428250497129e-06,1.000000000719408e-10,1.0000000000326975e-10,1.0000000005479618e-10,1.000000000028269e-10
7,ENSG00000001036.15,FUCA2,1522.2307692307693,47.663441939500174,False,True,False,False,82.0,0.0002570481856480623,214.0,0.0007634992566859598,122.0,0.0005361277493644142,199.0,0.0006247645021073799,1.0053315305976791e-10,1.0184152659751308e-10,1.0146082338692308e-10,1.0149794155217835e-10
8,ENSG00000001084.14,GCLC,1777.7333333333333,44.72111686198586,False,True,False,False,353.0,0.0012005662317915381,1072.0,0.0049217849079069165,902.0,0.005209304273351867,1187.0,0.005076211579622461,1.958091539856391e-08,1.8579036320268551e-09,3.6951633817247014e-09,2.5047996382733146e-09
9,ENSG00000001167.16,NFYA,3652.3076923076924,47.380553658342215,False,True,False,False,56.0,0.00017539758550103076,1261.0,0.005649239135307273,1426.0,0.007927936325247006,1662.0,0.006519533276620529,1.0458068797623969e-07,1.553902666392617e-10,3.0397404273911326e-10,1.9573612078097492e-10
10,ENSG00000001460.19,STPG1,1938.3333333333333,47.7790856844246,False,True,False,False,85.0,0.0002782168597602557,99.0,0.00041943306805065597,68.0,0.0003208323539503581,105.0,0.0003702308160636325,1.0012962641392362e-10,1.0053653934555523e-10,1.0044796544456108e-10,1.0048971784478621e-10
11,ENSG00000001461.20,NIPAL3,3876.222222222222,49.8342711533923,False,True,False,False,969.0,0.0036319396583920334,1016.0,0.004335233976804827,822.0,0.004166599123013204,1097.0,0.0042374073869782935,7.348252131896835e-09,8.837133136982022e-09,1.2924715311855692e-08,1.0220843504554535e-08
12,ENSG00000001497.19,LAS1L,3241.4545454545455,53.30630722292729,False,True,False,False,603.0,0.002017072233261854,616.0,0.0022904977700578793,929.0,0.004643626175597289,929.0,0.0031758862190458476,9.044726140167932e-09,8.312132683514742e-10,7.07774419987766e-09,2.1552276847345935e-09
13,ENSG00000001561.8,ENPP4,4669.0,34.75898209212444,False,True,False,False,212.0,0.0007076385346076068,320.0,0.0011042886244771177,195.0,0.0008865104517049369,349.0,0.0010962303069384119,1.0948789204557791e-10,1.2439804687056763e-10,1.2348154686003878e-10,1.2992285953478457e-10
