,gene_id,gene_name,gene_length,gc_content,is_lnc,is_pc,is_mito,is_ribo,is_oxphos,is_pseudo,10x_n_cells,10x_percent_counts,polyT_n_cells,polyT_percent_counts,randO_n_cells,randO_percent_counts,parse_n_cells,parse_percent_counts,polyT_randO_distance,10x_polyT_distance,10x_randO_distance,10x_parse_distance
0,ENSG00000000003.17,TSPAN6,1655.0,40.6578947368421,False,True,False,False,False,False,38.0,2.630535386290833e-07,13.0,1.219385784754143e-07,13.0,1.5911275997391232e-07,14.0,1.3040771662885686e-07,9.875225220242884e-10,1.4220949171312404e-08,5.722266953609145e-09,1.2595766783130622e-08
1,ENSG00000000419.15,DPM1,1074.5,37.57892132737843,False,True,False,False,False,False,5207.0,5.581580742016576e-05,3026.0,4.698990220534716e-05,1929.0,3.3322758017393636e-05,2839.0,4.076056192880707e-05,4.492133202327804e-05,2.169519155876452e-06,3.4164282284585416e-05,1.6317759088446123e-05
2,ENSG00000000457.15,SCYL3,2870.0,44.61592423710979,False,True,False,False,False,False,1980.0,1.565860800997333e-05,2075.0,2.7148753507704747e-05,1557.0,2.4901146935917278e-05,2113.0,2.6073392843482068e-05,8.143031573156132e-10,5.4618789013185406e-05,4.215910159656372e-05,4.813281618399881e-05
3,ENSG00000000460.18,FIRRM,3086.5,41.769197509475696,False,True,False,False,False,False,1873.0,1.565860800997333e-05,1562.0,2.6756808076890913e-05,1126.0,2.1809813313566984e-05,1504.0,2.414987902320643e-05,7.413937237829593e-06,5.203425319193444e-05,2.4968663580602626e-05,3.6013795284825e-05
4,ENSG00000000938.14,FGR,2385.5,57.13390879903677,False,True,False,False,False,False,6038.0,9.775207944687594e-05,3440.0,8.403310036648552e-05,4115.0,0.00019503814813659354,4153.0,0.00013679769474367085,0.0009428273409813273,1.062628337788929e-06,0.0002768409820254254,8.020641833887562e-05
5,ENSG00000000971.18,CFH,3096.5,39.22819911227539,False,True,False,False,False,False,259.0,1.952134155089513e-06,103.0,1.1061571047412586e-06,41.0,5.114338713447182e-07,78.0,7.416938883266233e-07,2.890915564309288e-06,2.3289563088222674e-06,8.06900062862265e-06,6.087489957772689e-06
6,ENSG00000001036.15,FUCA2,1316.0,48.23393167342212,False,True,False,False,False,False,6008.0,5.996236188434526e-05,2557.0,3.597188065024722e-05,1926.0,3.1833917191923456e-05,2594.0,3.481070985761548e-05,5.24174748605183e-07,5.74601190834694e-05,6.20006713230141e-05,6.79748213988225e-05
7,ENSG00000001084.14,GCLC,1800.0,44.20079260237781,False,True,False,False,False,False,2483.0,2.39101821690751e-05,3327.0,0.00011706103533639774,2703.0,0.0001129018683986318,3362.0,0.00011567979513208532,8.681986864139795e-06,0.0005500256047387268,0.0004905609309148544,0.0005490987429045774
8,ENSG00000001167.16,NFYA,3759.0,46.88057157445967,False,True,False,False,False,False,1111.0,8.35541108224483e-06,1763.0,2.277638447951489e-05,2105.0,3.895989579932653e-05,2332.0,3.1729827552258735e-05,0.00019178116241862534,9.690053345878805e-05,0.00020751497123150018,0.00017252995847945177
9,ENSG00000001460.19,STPG1,1685.0,49.5114006514658,False,True,False,False,False,False,615.0,4.6242043106375705e-06,471.0,5.565625117556411e-06,290.0,3.875532225078865e-06,446.0,4.792483586110489e-06,1.1780025261835527e-05,2.218432174374036e-06,2.9532948590971664e-07,2.69232053424374e-07
10,ENSG00000001461.20,NIPAL3,4112.0,49.73290886614989,False,True,False,False,False,False,2908.0,2.7108359401881325e-05,2350.0,4.113685043852727e-05,1787.0,3.6016309739809155e-05,2357.0,3.777748541092197e-05,9.151125562349343e-07,5.101875504918114e-05,3.213023666204126e-05,3.5134558753269963e-05
11,ENSG00000001497.19,LAS1L,2386.0,53.90001968833256,False,True,False,False,False,False,4490.0,4.295387387351216e-05,1444.0,1.7689803777397606e-05,1971.0,3.9050817376454485e-05,2047.0,2.8062110522072133e-05,0.00031881586322113104,0.0001722531196856287,7.650012390928487e-07,3.233084565989566e-05
12,ENSG00000001561.8,ENPP4,4665.0,34.65896942484499,False,True,False,False,False,False,2506.0,2.2013427706328553e-05,1678.0,2.2201531180987938e-05,1003.0,1.4933869043265772e-05,1572.0,1.8909118911184242e-05,4.618081524714332e-05,1.1474213851956786e-06,1.0318210466832225e-05,1.2123897990799254e-06
13,ENSG00000001617.13,SEMA3F,3126.0,61.362371664672665,False,True,False,False,False,False,4.0,2.7689846171482454e-08,4.0,3.4839593850118376e-08,11.0,1.250171685509311e-07,7.0,5.705337602512487e-08,5.445236382694239e-10,1.0085040870825273e-10,2.0950576119816092e-10,1.1259228708832742e-10
14,ENSG00000001626.19,CFTR,4037.0,41.2124580998066,False,True,False,False,False,False,19.0,1.3152676931454165e-07,22.0,1.916177661756511e-07,11.0,1.3638236569192484e-07,20.0,1.7116012807537462e-07,3.127148264820128e-09,1.0103779847613367e-09,1.222571420923358e-10,5.28378554101454e-10
15,ENSG00000001629.11,ANKIB1,4063.0,42.90984921398781,False,True,False,False,False,False,8141.0,9.793206344699058e-05,6286.0,0.0002221459602868173,4106.0,0.00010821940717654236,5818.0,0.0001654140380614156,0.0005195520597207756,0.00035428716584308195,2.8769597799466198e-05,0.00016485397248472457
16,ENSG00000001630.19,CYP51A1,2220.0,41.0459587955626,False,True,False,False,False,False,276.0,1.938289232003772e-06,670.0,7.229215723899563e-06,289.0,3.5686719022720337e-06,544.0,5.151104806839845e-06,6.768767788735228e-05,2.594197070954332e-05,4.758326215097632e-06,1.3764688793004411e-05
17,ENSG00000001631.18,KRIT1,3835.0,39.06844106463878,False,True,False,False,False,False,3005.0,2.424938278467576e-05,2798.0,3.823645425050492e-05,1556.0,2.301452421051232e-05,2565.0,3.084142498272464e-05,0.00011360804401541038,5.4762596523740806e-05,1.0649431978196302e-06,1.930015019028462e-05
18,ENSG00000002016.19,RAD52,1894.0,50.02794857462269,False,True,False,False,False,False,3578.0,3.223098094360558e-05,924.0,9.998963434983974e-06,758.0,1.0467346566855233e-05,1002.0,1.036741347199412e-05,3.1991110988255313e-06,0.00026204126290105164,0.00018461533091184996,0.00024940237758981344
19,ENSG00000002330.15,BAD,954.0,65.91846919440059,False,True,False,False,False,False,2783.0,2.3294083091759616e-05,628.0,6.4279050653468405e-06,529.0,7.194169790249036e-06,682.0,6.5774392074679674e-06,4.737914560009272e-06,0.0002551235722108493,0.00016489097689052556,0.00024988627200862905
